canonical_smiles,parent_molecule_chembl_id,parent_pref_name,approved_chembl_ids,approved_pref_names,first_approvals,withdrawn_flags
CC(C)(NC(=O)C1=C(O)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1)c1nc(-c2ccccc2)no1,CHEMBL2105755,NALDEMEDINE,CHEMBL2105755;CHEMBL3039508,NALDEMEDINE;NALDEMEDINE TOSYLATE,2017,False
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,CHEMBL2105759,BARICITINIB,CHEMBL2105759,BARICITINIB,2017,False
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,CHEMBL2105760,BREXPIPRAZOLE,CHEMBL2105760,BREXPIPRAZOLE,2015,False
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,CHEMBL2105762,OMARIGLIPTIN,CHEMBL2105762,OMARIGLIPTIN,2015,False
CC(I)C1OCC(CO)O1,CHEMBL2105827,"GLYCEROL, IODINATED",CHEMBL2105827,"GLYCEROL, IODINATED",,True
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CHEMBL2105842,CORTIVAZOL,CHEMBL2105842,CORTIVAZOL,,False
O=S(=O)([O-])[O-].[Ba+2],CHEMBL2105897,BARIUM SULFATE,CHEMBL2105897,BARIUM SULFATE,2016,False
CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,CHEMBL2110774,CHLORPHENOXAMINE,CHEMBL2105980;CHEMBL2110774,CHLORPHENOXAMINE HYDROCHLORIDE;CHLORPHENOXAMINE,,False
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],CHEMBL2106119,CALCIUM GLUCONATE,CHEMBL2106119,CALCIUM GLUCONATE,2017,False
CC[N+](C)(C)C(C)CC(c1ccccc1)c1ccccc1,CHEMBL2110805,EMEPRONIUM,CHEMBL2106122;CHEMBL2110805,EMEPRONIUM BROMIDE;EMEPRONIUM,,False
CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,CHEMBL2106439,PIPOTIAZINE PALMITATE,CHEMBL2106439,PIPOTIAZINE PALMITATE,,False
CNC(=S)NCO,CHEMBL2106441,NOXYTIOLIN,CHEMBL2106441,NOXYTIOLIN,,False
NC(=O)N/N=C1\C=Cc2ccccc2C1=O,CHEMBL2106794,NAFTAZONE,CHEMBL2106794,NAFTAZONE,,True
