canonical_smiles,molecule_chembl_ids,parent_molecule_chembl_ids,activity_ids,document_chembl_ids,pchembl_values
CNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL261453,CHEMBL261453,184804,CHEMBL1135517,6.79
CCNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL258535,CHEMBL258535,186289,CHEMBL1135517,7.19
Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccco3)nn12,CHEMBL109845,CHEMBL109845,187838,CHEMBL1149198,7.57
Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL2092941,CHEMBL2092941,189881,CHEMBL1135517,8.15
COC[C@H]1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL110646,CHEMBL110646,190190,CHEMBL1149198,7.21
Cc1ccc(-c2nc3cc(C(=O)N4CCCCC4)cc(N)n3n2)o1,CHEMBL113228,CHEMBL113228,190192,CHEMBL1149198,7.85
CCCCC#Cc1nc(NCC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,CHEMBL437842,CHEMBL437842,191176,CHEMBL1135517,6.57
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC(O)c4ccccc4)nc32)[C@H](O)[C@@H]1O,CHEMBL2094083,CHEMBL2094083,192281,CHEMBL1135517,8.51
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#C[C@H](O)c4ccccc4)nc32)[C@H](O)[C@@H]1O,CHEMBL258534,CHEMBL258534,192287,CHEMBL1135517,7.41
Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCC4)cn3n2)o1,CHEMBL432624,CHEMBL432624,192592,CHEMBL1149198,7.12
CC1CCCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL113967,CHEMBL113967,193782,CHEMBL1149198,8.7
CC1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1,CHEMBL113542,CHEMBL113542,194904,CHEMBL1149198,7.82
CN(CCc1ccccc1)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL112740,CHEMBL112740,194906,CHEMBL1149198,7.3
CN(C)C(=O)CN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL112631,CHEMBL112631,194908,CHEMBL1149198,8.52
CC1CCCN(C(=O)c2cc(N)n3nc(-c4ccc(Br)o4)nc3c2)C1,CHEMBL323945,CHEMBL323945,194910,CHEMBL1149198,8.52
CC(C)Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL2092787,CHEMBL2092787,195774,CHEMBL1135517,7.02
Nc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL262363,CHEMBL262363,195780,CHEMBL1135517,8.74
CC1CCCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL325993,CHEMBL325993,196118,CHEMBL1149198,7.21
Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccccn3)nn12,CHEMBL325646,CHEMBL325646,196120,CHEMBL1149198,7.24
CNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL2092786,CHEMBL2092786,197938,CHEMBL1135517,6.56
Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccc(Br)o3)nn12,CHEMBL325350,CHEMBL325350,198262,CHEMBL1149198,8.05
Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccco3)nn12,CHEMBL109499,CHEMBL109499,198264,CHEMBL1149198,7.96
COC[C@H]1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL112773,CHEMBL112773,199627,CHEMBL1149198,8.7
CCNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL2092788,CHEMBL2092788,200495,CHEMBL1135517,7.03
CC(C)Nc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL438418,CHEMBL438418,200501,CHEMBL1135517,6.49
Nc1cc(C(=O)N2CCCCC2)cn2nc(-c3ccc(Br)o3)nc12,CHEMBL113376,CHEMBL113376,200824,CHEMBL1149198,7.57
CCCN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL110698,CHEMBL110698,200826,CHEMBL1149198,8.22
Nc1cc(C(=O)N2CCCC2)cc2nc(-c3cccs3)nn12,CHEMBL114405,CHEMBL114405,200828,CHEMBL1149198,6.98
